event_id,particle_id,truth_energy,truth_eta,truth_phi,eps,min_samples,candidate_dR,group_input_mode,n_input_hits,matched,failure_reason,n_clusters,n_noise_hits,noise_fraction,largest_cluster_label,largest_cluster_n_hits,largest_cluster_energy,chosen_cluster_label,chosen_cluster_n_hits,chosen_cluster_energy,chosen_is_largest,cluster_sizes
3,347,44.06303405761719,1.1742144319138839,-1.9373138957804508,0.12,2,0.25,nearby_all,2827,True,,1,0,0.0,0.0,2827,81.92969715859071,0.0,2827,81.92969715859071,True,[2827]
4,193,72.88250732421875,-2.1378411256496963,1.125994495594385,0.04,2,0.25,nearby_all,7344,True,,1,0,0.0,0.0,7344,208.42471905664536,0.0,7344,208.42471905664536,True,[7344]
4,193,72.88250732421875,-2.1378411256496963,1.125994495594385,0.06,2,0.25,nearby_all,7344,True,,1,0,0.0,0.0,7344,208.42471905664536,0.0,7344,208.42471905664536,True,[7344]
4,193,72.88250732421875,-2.1378411256496963,1.125994495594385,0.08,2,0.25,nearby_all,7344,True,,1,0,0.0,0.0,7344,208.42471905664536,0.0,7344,208.42471905664536,True,[7344]
4,193,72.88250732421875,-2.1378411256496963,1.125994495594385,0.1,2,0.25,nearby_all,7344,True,,1,0,0.0,0.0,7344,208.42471905664536,0.0,7344,208.42471905664536,True,[7344]
4,193,72.88250732421875,-2.1378411256496963,1.125994495594385,0.12,2,0.25,nearby_all,7344,True,,1,0,0.0,0.0,7344,208.42471905664536,0.0,7344,208.42471905664536,True,[7344]
4,196,10.961793899536133,-0.09887885671425835,-1.9563827377739673,0.04,2,0.25,nearby_all,2090,True,,2,1,0.0004784688995215311,0.0,1938,40.44441485003517,0.0,1938,40.44441485003517,True,"[1938, 151]"
4,196,10.961793899536133,-0.09887885671425835,-1.9563827377739673,0.06,2,0.25,nearby_all,2090,True,,1,0,0.0,0.0,2090,43.30346675155852,0.0,2090,43.30346675155852,True,[2090]
4,196,10.961793899536133,-0.09887885671425835,-1.9563827377739673,0.08,2,0.25,nearby_all,2090,True,,1,0,0.0,0.0,2090,43.30346675155852,0.0,2090,43.30346675155852,True,[2090]
4,196,10.961793899536133,-0.09887885671425835,-1.9563827377739673,0.1,2,0.25,nearby_all,2090,True,,1,0,0.0,0.0,2090,43.30346675155852,0.0,2090,43.30346675155852,True,[2090]
4,196,10.961793899536133,-0.09887885671425835,-1.9563827377739673,0.12,2,0.25,nearby_all,2090,True,,1,0,0.0,0.0,2090,43.30346675155852,0.0,2090,43.30346675155852,True,[2090]
5,69,21.35725975036621,0.8635930746277929,2.5744402750329005,0.04,2,0.25,nearby_all,2134,True,,1,0,0.0,0.0,2134,53.423047996793684,0.0,2134,53.423047996793684,True,[2134]
5,69,21.35725975036621,0.8635930746277929,2.5744402750329005,0.06,2,0.25,nearby_all,2134,True,,1,0,0.0,0.0,2134,53.423047996793684,0.0,2134,53.423047996793684,True,[2134]
5,69,21.35725975036621,0.8635930746277929,2.5744402750329005,0.08,2,0.25,nearby_all,2134,True,,1,0,0.0,0.0,2134,53.423047996793684,0.0,2134,53.423047996793684,True,[2134]
5,69,21.35725975036621,0.8635930746277929,2.5744402750329005,0.1,2,0.25,nearby_all,2134,True,,1,0,0.0,0.0,2134,53.423047996793684,0.0,2134,53.423047996793684,True,[2134]
5,69,21.35725975036621,0.8635930746277929,2.5744402750329005,0.12,2,0.25,nearby_all,2134,True,,1,0,0.0,0.0,2134,53.423047996793684,0.0,2134,53.423047996793684,True,[2134]
5,70,51.90724182128906,-1.8584831673518456,-0.5986100804695718,0.04,2,0.25,nearby_all,5738,True,,1,0,0.0,0.0,5738,153.1911311829943,0.0,5738,153.1911311829943,True,[5738]
5,70,51.90724182128906,-1.8584831673518456,-0.5986100804695718,0.06,2,0.25,nearby_all,5738,True,,1,0,0.0,0.0,5738,153.1911311829943,0.0,5738,153.1911311829943,True,[5738]
5,70,51.90724182128906,-1.8584831673518456,-0.5986100804695718,0.08,2,0.25,nearby_all,5738,True,,1,0,0.0,0.0,5738,153.1911311829943,0.0,5738,153.1911311829943,True,[5738]
5,70,51.90724182128906,-1.8584831673518456,-0.5986100804695718,0.1,2,0.25,nearby_all,5738,True,,1,0,0.0,0.0,5738,153.1911311829943,0.0,5738,153.1911311829943,True,[5738]
5,70,51.90724182128906,-1.8584831673518456,-0.5986100804695718,0.12,2,0.25,nearby_all,5738,True,,1,0,0.0,0.0,5738,153.1911311829943,0.0,5738,153.1911311829943,True,[5738]
6,652,410.17657470703125,-2.691082006783948,-2.303283408176336,0.04,2,0.25,nearby_all,13097,True,,1,0,0.0,0.0,13097,673.0431829802936,0.0,13097,673.0431829802936,True,[13097]
6,652,410.17657470703125,-2.691082006783948,-2.303283408176336,0.06,2,0.25,nearby_all,13097,True,,1,0,0.0,0.0,13097,673.0431829802936,0.0,13097,673.0431829802936,True,[13097]
6,652,410.17657470703125,-2.691082006783948,-2.303283408176336,0.08,2,0.25,nearby_all,13097,True,,1,0,0.0,0.0,13097,673.0431829802936,0.0,13097,673.0431829802936,True,[13097]
6,652,410.17657470703125,-2.691082006783948,-2.303283408176336,0.1,2,0.25,nearby_all,13097,True,,1,0,0.0,0.0,13097,673.0431829802936,0.0,13097,673.0431829802936,True,[13097]
6,652,410.17657470703125,-2.691082006783948,-2.303283408176336,0.12,2,0.25,nearby_all,13097,True,,1,0,0.0,0.0,13097,673.0431829802936,0.0,13097,673.0431829802936,True,[13097]
6,654,333.3797912597656,-2.910667882298986,1.2789788170138587,0.04,2,0.25,nearby_all,10520,True,,1,0,0.0,0.0,10520,569.5966123792853,0.0,10520,569.5966123792853,True,[10520]
6,654,333.3797912597656,-2.910667882298986,1.2789788170138587,0.06,2,0.25,nearby_all,10520,True,,1,0,0.0,0.0,10520,569.5966123792853,0.0,10520,569.5966123792853,True,[10520]
6,654,333.3797912597656,-2.910667882298986,1.2789788170138587,0.08,2,0.25,nearby_all,10520,True,,1,0,0.0,0.0,10520,569.5966123792853,0.0,10520,569.5966123792853,True,[10520]
6,654,333.3797912597656,-2.910667882298986,1.2789788170138587,0.1,2,0.25,nearby_all,10520,True,,1,0,0.0,0.0,10520,569.5966123792853,0.0,10520,569.5966123792853,True,[10520]
6,654,333.3797912597656,-2.910667882298986,1.2789788170138587,0.12,2,0.25,nearby_all,10520,True,,1,0,0.0,0.0,10520,569.5966123792853,0.0,10520,569.5966123792853,True,[10520]
7,144,0.3210046887397766,-0.66075618228635,1.8078725015508998,0.04,2,0.25,nearby_all,2589,True,,1,0,0.0,0.0,2589,50.04994727749363,0.0,2589,50.04994727749363,True,[2589]
7,144,0.3210046887397766,-0.66075618228635,1.8078725015508998,0.06,2,0.25,nearby_all,2589,True,,1,0,0.0,0.0,2589,50.04994727749363,0.0,2589,50.04994727749363,True,[2589]
7,144,0.3210046887397766,-0.66075618228635,1.8078725015508998,0.08,2,0.25,nearby_all,2589,True,,1,0,0.0,0.0,2589,50.04994727749363,0.0,2589,50.04994727749363,True,[2589]
7,144,0.3210046887397766,-0.66075618228635,1.8078725015508998,0.1,2,0.25,nearby_all,2589,True,,1,0,0.0,0.0,2589,50.04994727749363,0.0,2589,50.04994727749363,True,[2589]
7,144,0.3210046887397766,-0.66075618228635,1.8078725015508998,0.12,2,0.25,nearby_all,2589,True,,1,0,0.0,0.0,2589,50.04994727749363,0.0,2589,50.04994727749363,True,[2589]
7,145,0.7427677512168884,-1.1910697151329694,1.7003091708785896,0.04,2,0.25,nearby_all,2201,True,,1,0,0.0,0.0,2201,52.82098220236003,0.0,2201,52.82098220236003,True,[2201]
7,145,0.7427677512168884,-1.1910697151329694,1.7003091708785896,0.06,2,0.25,nearby_all,2201,True,,1,0,0.0,0.0,2201,52.82098220236003,0.0,2201,52.82098220236003,True,[2201]
7,145,0.7427677512168884,-1.1910697151329694,1.7003091708785896,0.08,2,0.25,nearby_all,2201,True,,1,0,0.0,0.0,2201,52.82098220236003,0.0,2201,52.82098220236003,True,[2201]
7,145,0.7427677512168884,-1.1910697151329694,1.7003091708785896,0.1,2,0.25,nearby_all,2201,True,,1,0,0.0,0.0,2201,52.82098220236003,0.0,2201,52.82098220236003,True,[2201]
7,145,0.7427677512168884,-1.1910697151329694,1.7003091708785896,0.12,2,0.25,nearby_all,2201,True,,1,0,0.0,0.0,2201,52.82098220236003,0.0,2201,52.82098220236003,True,[2201]
7,182,380.6821594238281,-4.730720833051846,-0.40720401917157695,0.04,2,0.25,nearby_all,0,False,too_few_input_hits,0,0,,,0,0.0,,0,0.0,,[]
7,182,380.6821594238281,-4.730720833051846,-0.40720401917157695,0.06,2,0.25,nearby_all,0,False,too_few_input_hits,0,0,,,0,0.0,,0,0.0,,[]
7,182,380.6821594238281,-4.730720833051846,-0.40720401917157695,0.08,2,0.25,nearby_all,0,False,too_few_input_hits,0,0,,,0,0.0,,0,0.0,,[]
7,182,380.6821594238281,-4.730720833051846,-0.40720401917157695,0.1,2,0.25,nearby_all,0,False,too_few_input_hits,0,0,,,0,0.0,,0,0.0,,[]
7,182,380.6821594238281,-4.730720833051846,-0.40720401917157695,0.12,2,0.25,nearby_all,0,False,too_few_input_hits,0,0,,,0,0.0,,0,0.0,,[]
7,184,10.487838745117188,0.022046785668297132,2.969617733707229,0.04,2,0.25,nearby_all,1779,True,,2,0,0.0,0.0,1700,36.767927977834916,0.0,1700,36.767927977834916,True,"[1700, 79]"
7,184,10.487838745117188,0.022046785668297132,2.969617733707229,0.06,2,0.25,nearby_all,1779,True,,1,0,0.0,0.0,1779,38.35633002932809,0.0,1779,38.35633002932809,True,[1779]
7,184,10.487838745117188,0.022046785668297132,2.969617733707229,0.08,2,0.25,nearby_all,1779,True,,1,0,0.0,0.0,1779,38.35633002932809,0.0,1779,38.35633002932809,True,[1779]
7,184,10.487838745117188,0.022046785668297132,2.969617733707229,0.1,2,0.25,nearby_all,1779,True,,1,0,0.0,0.0,1779,38.35633002932809,0.0,1779,38.35633002932809,True,[1779]
7,184,10.487838745117188,0.022046785668297132,2.969617733707229,0.12,2,0.25,nearby_all,1779,True,,1,0,0.0,0.0,1779,38.35633002932809,0.0,1779,38.35633002932809,True,[1779]
8,156,76.90438079833984,-1.1188814525523567,-2.214832518606706,0.04,2,0.25,nearby_all,3122,True,,1,0,0.0,0.0,3122,108.72159956721845,0.0,3122,108.72159956721845,True,[3122]
8,156,76.90438079833984,-1.1188814525523567,-2.214832518606706,0.06,2,0.25,nearby_all,3122,True,,1,0,0.0,0.0,3122,108.72159956721845,0.0,3122,108.72159956721845,True,[3122]
8,156,76.90438079833984,-1.1188814525523567,-2.214832518606706,0.08,2,0.25,nearby_all,3122,True,,1,0,0.0,0.0,3122,108.72159956721845,0.0,3122,108.72159956721845,True,[3122]
8,156,76.90438079833984,-1.1188814525523567,-2.214832518606706,0.1,2,0.25,nearby_all,3122,True,,1,0,0.0,0.0,3122,108.72159956721845,0.0,3122,108.72159956721845,True,[3122]
8,156,76.90438079833984,-1.1188814525523567,-2.214832518606706,0.12,2,0.25,nearby_all,3122,True,,1,0,0.0,0.0,3122,108.72159956721845,0.0,3122,108.72159956721845,True,[3122]
8,157,121.02465057373047,-1.7299950847823828,1.0723789435654127,0.04,2,0.25,nearby_all,5100,True,,1,0,0.0,0.0,5100,194.7746265980037,0.0,5100,194.7746265980037,True,[5100]
8,157,121.02465057373047,-1.7299950847823828,1.0723789435654127,0.06,2,0.25,nearby_all,5100,True,,1,0,0.0,0.0,5100,194.7746265980037,0.0,5100,194.7746265980037,True,[5100]
8,157,121.02465057373047,-1.7299950847823828,1.0723789435654127,0.08,2,0.25,nearby_all,5100,True,,1,0,0.0,0.0,5100,194.7746265980037,0.0,5100,194.7746265980037,True,[5100]
8,157,121.02465057373047,-1.7299950847823828,1.0723789435654127,0.1,2,0.25,nearby_all,5100,True,,1,0,0.0,0.0,5100,194.7746265980037,0.0,5100,194.7746265980037,True,[5100]
8,157,121.02465057373047,-1.7299950847823828,1.0723789435654127,0.12,2,0.25,nearby_all,5100,True,,1,0,0.0,0.0,5100,194.7746265980037,0.0,5100,194.7746265980037,True,[5100]
9,357,102.61734771728516,-3.330180767146474,-2.3596209147337395,0.04,2,0.25,nearby_all,362,True,,6,0,0.0,1.0,91,20.035701722386875,2.0,65,57.44919739069009,False,"[54, 91, 65, 67, 66, 19]"
9,357,102.61734771728516,-3.330180767146474,-2.3596209147337395,0.06,2,0.25,nearby_all,362,True,,3,0,0.0,1.0,158,39.01242906131665,2.0,65,57.44919739069009,False,"[139, 158, 65]"
9,357,102.61734771728516,-3.330180767146474,-2.3596209147337395,0.08,2,0.25,nearby_all,362,True,,1,0,0.0,0.0,362,131.12841573968763,0.0,362,131.12841573968763,True,[362]
9,357,102.61734771728516,-3.330180767146474,-2.3596209147337395,0.1,2,0.25,nearby_all,362,True,,1,0,0.0,0.0,362,131.12841573968763,0.0,362,131.12841573968763,True,[362]
9,357,102.61734771728516,-3.330180767146474,-2.3596209147337395,0.12,2,0.25,nearby_all,362,True,,1,0,0.0,0.0,362,131.12841573968763,0.0,362,131.12841573968763,True,[362]
9,358,26.86075210571289,-0.6340644304441577,-2.512405331556623,0.04,2,0.25,nearby_all,1983,True,,1,2,0.0010085728693898135,0.0,1981,53.97216327321985,0.0,1981,53.97216327321985,True,[1981]
9,358,26.86075210571289,-0.6340644304441577,-2.512405331556623,0.06,2,0.25,nearby_all,1983,True,,1,0,0.0,0.0,1983,53.97843313569865,0.0,1983,53.97843313569865,True,[1983]
9,358,26.86075210571289,-0.6340644304441577,-2.512405331556623,0.08,2,0.25,nearby_all,1983,True,,1,0,0.0,0.0,1983,53.97843313569865,0.0,1983,53.97843313569865,True,[1983]
9,358,26.86075210571289,-0.6340644304441577,-2.512405331556623,0.1,2,0.25,nearby_all,1983,True,,1,0,0.0,0.0,1983,53.97843313569865,0.0,1983,53.97843313569865,True,[1983]
9,358,26.86075210571289,-0.6340644304441577,-2.512405331556623,0.12,2,0.25,nearby_all,1983,True,,1,0,0.0,0.0,1983,53.97843313569865,0.0,1983,53.97843313569865,True,[1983]
10,174,551.8514404296875,-3.379064817984229,0.708564146923978,0.04,2,0.25,nearby_all,270,True,,6,0,0.0,0.0,101,20.008174532363775,3.0,54,140.1197576403676,False,"[101, 51, 38, 54, 14, 12]"
10,174,551.8514404296875,-3.379064817984229,0.708564146923978,0.06,2,0.25,nearby_all,270,True,,5,0,0.0,0.0,155,160.12793217273136,0.0,155,160.12793217273136,True,"[155, 51, 38, 14, 12]"
10,174,551.8514404296875,-3.379064817984229,0.708564146923978,0.08,2,0.25,nearby_all,270,True,,1,0,0.0,0.0,270,209.45323045788098,0.0,270,209.45323045788098,True,[270]
10,174,551.8514404296875,-3.379064817984229,0.708564146923978,0.1,2,0.25,nearby_all,270,True,,1,0,0.0,0.0,270,209.45323045788098,0.0,270,209.45323045788098,True,[270]
10,174,551.8514404296875,-3.379064817984229,0.708564146923978,0.12,2,0.25,nearby_all,270,True,,1,0,0.0,0.0,270,209.45323045788098,0.0,270,209.45323045788098,True,[270]
10,175,583.50732421875,-3.123642524453799,-2.5968082473717238,0.04,2,0.25,nearby_all,3278,True,,1,0,0.0,0.0,3278,433.7870301457551,0.0,3278,433.7870301457551,True,[3278]
10,175,583.50732421875,-3.123642524453799,-2.5968082473717238,0.06,2,0.25,nearby_all,3278,True,,1,0,0.0,0.0,3278,433.7870301457551,0.0,3278,433.7870301457551,True,[3278]
10,175,583.50732421875,-3.123642524453799,-2.5968082473717238,0.08,2,0.25,nearby_all,3278,True,,1,0,0.0,0.0,3278,433.7870301457551,0.0,3278,433.7870301457551,True,[3278]
10,175,583.50732421875,-3.123642524453799,-2.5968082473717238,0.1,2,0.25,nearby_all,3278,True,,1,0,0.0,0.0,3278,433.7870301457551,0.0,3278,433.7870301457551,True,[3278]
10,175,583.50732421875,-3.123642524453799,-2.5968082473717238,0.12,2,0.25,nearby_all,3278,True,,1,0,0.0,0.0,3278,433.7870301457551,0.0,3278,433.7870301457551,True,[3278]
11,288,90.68218994140625,-1.5255346632732196,-0.42072258042361205,0.04,2,0.25,nearby_all,4123,True,,1,0,0.0,0.0,4123,141.455421736736,0.0,4123,141.455421736736,True,[4123]
11,288,90.68218994140625,-1.5255346632732196,-0.42072258042361205,0.06,2,0.25,nearby_all,4123,True,,1,0,0.0,0.0,4123,141.455421736736,0.0,4123,141.455421736736,True,[4123]
11,288,90.68218994140625,-1.5255346632732196,-0.42072258042361205,0.08,2,0.25,nearby_all,4123,True,,1,0,0.0,0.0,4123,141.455421736736,0.0,4123,141.455421736736,True,[4123]
11,288,90.68218994140625,-1.5255346632732196,-0.42072258042361205,0.1,2,0.25,nearby_all,4123,True,,1,0,0.0,0.0,4123,141.455421736736,0.0,4123,141.455421736736,True,[4123]
